time,x_ref,y_ref,yaw_ref,x,y,yaw,v,w,x_next,y_next,yaw_next
1.58,2.90808,0.736937,104.22,2.90993,0.732535,104.197,0.471353,0.156707,2.90877,0.737104,104.287
1.59,2.90692,0.741504,104.31,2.90877,0.737104,104.287,0.471353,0.15671,2.90761,0.741672,104.376
1.6,2.90575,0.74607,104.4,2.90761,0.741672,104.376,0.471352,0.156714,2.90644,0.746238,104.466
1.61,2.90457,0.750633,104.49,2.90644,0.746238,104.466,0.471352,0.156717,2.90526,0.750802,104.556
1.62,2.90339,0.755195,104.58,2.90526,0.750802,104.556,0.471352,0.156721,2.90408,0.755364,104.646
1.63,2.9022,0.759754,104.67,2.90408,0.755364,104.646,0.471352,0.156724,2.90288,0.759925,104.736
1.64,2.901,0.764312,104.76,2.90288,0.759925,104.736,0.471351,0.156728,2.90168,0.764483,104.825
1.65,2.8998,0.768868,104.85,2.90168,0.764483,104.825,0.471351,0.156731,2.90048,0.76904,104.915
1.66,2.89859,0.773422,104.94,2.90048,0.76904,104.915,0.471351,0.156735,2.89927,0.773594,105.005
1.67,2.89737,0.777974,105.03,2.89927,0.773594,105.005,0.47135,0.156738,2.89804,0.778147,105.095
1.68,2.89614,0.782525,105.12,2.89804,0.778147,105.095,0.47135,0.156741,2.89682,0.782698,105.185
1.69,2.89491,0.787073,105.21,2.89682,0.782698,105.185,0.47135,0.156745,2.89558,0.787247,105.274
1.7,2.89367,0.791619,105.3,2.89558,0.787247,105.274,0.47135,0.156748,2.89434,0.791794,105.364
1.71,2.89243,0.796164,105.39,2.89434,0.791794,105.364,0.471349,0.156751,2.89309,0.796339,105.454
1.72,2.89117,0.800706,105.48,2.89309,0.796339,105.454,0.471349,0.156754,2.89184,0.800882,105.544
1.73,2.88991,0.805246,105.57,2.89184,0.800882,105.544,0.471349,0.156757,2.89057,0.805423,105.634
1.74,2.88864,0.809785,105.66,2.89057,0.805423,105.634,0.471349,0.15676,2.8893,0.809962,105.724
1.75,2.88737,0.814321,105.75,2.8893,0.809962,105.724,0.471348,0.156764,2.88803,0.814499,105.813
1.76,2.88608,0.818856,105.84,2.88803,0.814499,105.813,0.471348,0.156767,2.88674,0.819035,105.903
1.77,2.88479,0.823388,105.93,2.88674,0.819035,105.903,0.471348,0.15677,2.88545,0.823568,105.993
1.78,2.8835,0.827919,106.02,2.88545,0.823568,105.993,0.471348,0.156773,2.88415,0.828099,106.083
1.79,2.88219,0.832447,106.11,2.88415,0.828099,106.083,0.471347,0.156776,2.88285,0.832628,106.173
1.8,2.88088,0.836973,106.2,2.88285,0.832628,106.173,0.471347,0.156779,2.88153,0.837155,106.262
1.81,2.87956,0.841498,106.29,2.88153,0.837155,106.262,0.471347,0.156782,2.88021,0.841679,106.352
1.82,2.87824,0.84602,106.38,2.88021,0.841679,106.352,0.471347,0.156784,2.87889,0.846202,106.442
1.83,2.8769,0.85054,106.47,2.87889,0.846202,106.442,0.471346,0.156787,2.87755,0.850723,106.532
1.84,2.87557,0.855058,106.56,2.87755,0.850723,106.532,0.471346,0.15679,2.87621,0.855242,106.622
1.85,2.87422,0.859574,106.65,2.87621,0.855242,106.622,0.471346,0.156793,2.87486,0.859758,106.712
1.86,2.87286,0.864087,106.74,2.87486,0.859758,106.712,0.471346,0.156796,2.87351,0.864272,106.801
1.87,2.8715,0.868599,106.83,2.87351,0.864272,106.801,0.471345,0.156799,2.87214,0.868785,106.891
1.88,2.87014,0.873109,106.92,2.87214,0.868785,106.891,0.471345,0.156801,2.87077,0.873295,106.981
1.89,2.86876,0.877616,107.01,2.87077,0.873295,106.981,0.471345,0.156804,2.8694,0.877803,107.071
1.9,2.86738,0.882121,107.1,2.8694,0.877803,107.071,0.471345,0.156807,2.86801,0.882309,107.161
1.91,2.86599,0.886624,107.19,2.86801,0.882309,107.161,0.471344,0.156809,2.86662,0.886812,107.251
1.92,2.86459,0.891125,107.28,2.86662,0.886812,107.251,0.471344,0.156812,2.86523,0.891314,107.341
1.93,2.86319,0.895623,107.37,2.86523,0.891314,107.341,0.471344,0.156815,2.86382,0.895813,107.43
1.94,2.86178,0.90012,107.46,2.86382,0.895813,107.43,0.471344,0.156817,2.86241,0.90031,107.52
1.95,2.86036,0.904614,107.55,2.86241,0.90031,107.52,0.471344,0.15682,2.86099,0.904805,107.61
1.96,2.85894,0.909106,107.64,2.86099,0.904805,107.61,0.471343,0.156822,2.85956,0.909297,107.7
1.97,2.85751,0.913595,107.73,2.85956,0.909297,107.7,0.471343,0.156825,2.85813,0.913787,107.79
1.98,2.85607,0.918083,107.82,2.85813,0.913787,107.79,0.471343,0.156827,2.85669,0.918275,107.88
1.99,2.85462,0.922568,107.91,2.85669,0.918275,107.88,0.471343,0.15683,2.85524,0.922761,107.969
2,2.85317,0.927051,108,2.85524,0.922761,107.969,0.471343,0.156832,2.85379,0.927245,108.059
2.01,2.85171,0.931532,108.09,2.85379,0.927245,108.059,0.471342,0.156834,2.85233,0.931726,108.149
2.02,2.85024,0.93601,108.18,2.85233,0.931726,108.149,0.471342,0.156837,2.85086,0.936205,108.239
2.03,2.84877,0.940486,108.27,2.85086,0.936205,108.239,0.471342,0.156839,2.84938,0.940682,108.329
2.04,2.84729,0.94496,108.36,2.84938,0.940682,108.329,0.471342,0.156842,2.8479,0.945156,108.419
2.05,2.8458,0.949431,108.45,2.8479,0.945156,108.419,0.471342,0.156844,2.84641,0.949628,108.509
2.06,2.84431,0.9539,108.54,2.84641,0.949628,108.509,0.471341,0.156846,2.84492,0.954097,108.599
2.07,2.8428,0.958367,108.63,2.84492,0.954097,108.599,0.471341,0.156848,2.84341,0.958565,108.688
2.08,2.84129,0.962831,108.72,2.84341,0.958565,108.688,0.471341,0.156851,2.8419,0.96303,108.778
2.09,2.83978,0.967293,108.81,2.8419,0.96303,108.778,0.471341,0.156853,2.84039,0.967492,108.868
2.1,2.83826,0.971752,108.9,2.84039,0.967492,108.868,0.471341,0.156855,2.83886,0.971952,108.958
2.11,2.83673,0.976209,108.99,2.83886,0.971952,108.958,0.47134,0.156857,2.83733,0.97641,109.048
2.12,2.83519,0.980664,109.08,2.83733,0.97641,109.048,0.47134,0.156859,2.83579,0.980865,109.138
2.13,2.83365,0.985116,109.17,2.83579,0.980865,109.138,0.47134,0.156862,2.83425,0.985318,109.228
2.14,2.83209,0.989566,109.26,2.83425,0.985318,109.228,0.47134,0.156864,2.8327,0.989769,109.317
2.15,2.83054,0.994014,109.35,2.8327,0.989769,109.317,0.47134,0.156866,2.83114,0.994217,109.407
2.16,2.82897,0.998459,109.44,2.83114,0.994217,109.407,0.47134,0.156868,2.82957,0.998662,109.497
2.17,2.8274,1.0029,109.53,2.82957,0.998662,109.497,0.471339,0.15687,2.828,1.00311,109.587
2.18,2.82582,1.00734,109.62,2.828,1.00311,109.587,0.471339,0.156872,2.82642,1.00755,109.677
2.19,2.82424,1.01178,109.71,2.82642,1.00755,109.677,0.471339,0.156874,2.82483,1.01198,109.767
2.2,2.82264,1.01621,109.8,2.82483,1.01198,109.767,0.471339,0.156876,2.82324,1.01642,109.857
2.21,2.82104,1.02065,109.89,2.82324,1.01642,109.857,0.471339,0.156878,2.82163,1.02085,109.947
2.22,2.81944,1.02508,109.98,2.82163,1.02085,109.947,0.471338,0.15688,2.82003,1.02528,110.037
2.23,2.81782,1.0295,110.07,2.82003,1.02528,110.037,0.471338,0.156882,2.81841,1.02971,110.126
2.24,2.8162,1.03393,110.16,2.81841,1.02971,110.126,0.471338,0.156884,2.81679,1.03414,110.216
2.25,2.81457,1.03835,110.25,2.81679,1.03414,110.216,0.471338,0.156886,2.81516,1.03856,110.306
2.26,2.81294,1.04277,110.34,2.81516,1.03856,110.306,0.471338,0.156888,2.81353,1.04298,110.396
2.27,2.8113,1.04719,110.43,2.81353,1.04298,110.396,0.471338,0.156889,2.81188,1.0474,110.486
2.28,2.80965,1.0516,110.52,2.81188,1.0474,110.486,0.471338,0.156891,2.81023,1.05181,110.576
2.29,2.80799,1.05602,110.61,2.81023,1.05181,110.576,0.471337,0.156893,2.80858,1.05623,110.666
2.3,2.80633,1.06042,110.7,2.80858,1.05623,110.666,0.471337,0.156895,2.80691,1.06064,110.756
2.31,2.80466,1.06483,110.79,2.80691,1.06064,110.756,0.471337,0.156897,2.80524,1.06504,110.846
2.32,2.80299,1.06924,110.88,2.80524,1.06504,110.846,0.471337,0.156898,2.80357,1.06945,110.935
2.33,2.8013,1.07364,110.97,2.80357,1.06945,110.935,0.471337,0.1569,2.80188,1.07385,111.025
2.34,2.79961,1.07804,111.06,2.80188,1.07385,111.025,0.471337,0.156902,2.80019,1.07825,111.115
2.35,2.79792,1.08243,111.15,2.80019,1.07825,111.115,0.471336,0.156904,2.79849,1.08265,111.205
2.36,2.79621,1.08683,111.24,2.79849,1.08265,111.205,0.471336,0.156905,2.79679,1.08704,111.295
2.37,2.7945,1.09122,111.33,2.79679,1.08704,111.295,0.471336,0.156907,2.79508,1.09143,111.385
2.38,2.79279,1.09561,111.42,2.79508,1.09143,111.385,0.471336,0.156909,2.79336,1.09582,111.475
2.39,2.79106,1.09999,111.51,2.79336,1.09582,111.475,0.471336,0.15691,2.79163,1.10021,111.565
2.4,2.78933,1.10437,111.6,2.79163,1.10021,111.565,0.471336,0.156912,2.7899,1.10459,111.655
2.41,2.78759,1.10875,111.69,2.7899,1.10459,111.655,0.471336,0.156914,2.78816,1.10897,111.745
