time,x,y,yaw,v,w,left_rpm,right_rpm,ref_x,ref_y,ref_yaw,ref_v,ref_w,ref_left_rpm,ref_right_rpm
0.86,2.68206,0.436742,59.2421,0.397776,0.285714,6.95551,8.95551,2.97267,0.404034,97.74,0.471239,0.15708,8.875,9.97456
0.87,2.68409,0.440161,59.4058,0.397776,0.285714,6.95551,8.95551,2.97203,0.408703,97.83,0.471239,0.15708,8.875,9.97456
0.88,2.68612,0.443585,59.5695,0.397776,0.285714,6.95551,8.95551,2.97138,0.413371,97.92,0.471239,0.15708,8.875,9.97456
0.89,2.68813,0.447014,59.7332,0.397776,0.285714,6.95551,8.95551,2.97073,0.418038,98.01,0.471239,0.15708,8.875,9.97456
0.9,2.69016,0.450493,59.8969,0.402746,0.285714,7.05492,9.05492,2.97007,0.422704,98.1,0.471239,0.15708,8.875,9.97456
0.91,2.69218,0.453977,60.0606,0.402746,0.285714,7.05492,9.05492,2.9694,0.427369,98.19,0.471239,0.15708,8.875,9.97456
0.92,2.69419,0.457467,60.2243,0.402746,0.285714,7.05492,9.05492,2.96873,0.432032,98.28,0.471239,0.15708,8.875,9.97456
0.93,2.69619,0.460963,60.388,0.402746,0.285714,7.05492,9.05492,2.96805,0.436695,98.37,0.471239,0.15708,8.875,9.97456
0.94,2.69818,0.464464,60.5517,0.402746,0.285714,7.05492,9.05492,2.96736,0.441357,98.46,0.471239,0.15708,8.875,9.97456
0.95,2.70018,0.468013,60.7154,0.407563,0.285714,7.15126,9.15126,2.96666,0.446017,98.55,0.471239,0.15708,8.875,9.97456
0.96,2.70218,0.471568,60.8791,0.407563,0.285714,7.15126,9.15126,2.96596,0.450677,98.64,0.471239,0.15708,8.875,9.97456
0.97,2.70416,0.475129,61.0428,0.407563,0.285714,7.15126,9.15126,2.96524,0.455335,98.73,0.471239,0.15708,8.875,9.97456
0.98,2.70613,0.478695,61.2065,0.407563,0.285714,7.15126,9.15126,2.96452,0.459992,98.82,0.471239,0.15708,8.875,9.97456
0.99,2.7081,0.482267,61.3702,0.407563,0.285714,7.15126,9.15126,2.9638,0.464648,98.91,0.471239,0.15708,8.875,9.97456
1,2.71007,0.485885,61.5339,0.41223,0.285714,7.24461,9.24461,2.96307,0.469303,99,0.471239,0.15708,8.875,9.97456
1.01,2.71204,0.489509,61.6976,0.41223,0.285714,7.24461,9.24461,2.96232,0.473957,99.09,0.471239,0.15708,8.875,9.97456
